id,im_path,label_path
1639438026-369757795,WildScenes2d/K-03/image/1639438026-369757795.png,WildScenes2d/K-03/indexLabel/1639438026-369757795.png
1639435063-071982135,WildScenes2d/K-03/image/1639435063-071982135.png,WildScenes2d/K-03/indexLabel/1639435063-071982135.png
1623378835-623811943,WildScenes2d/V-01/image/1623378835-623811943.png,WildScenes2d/V-01/indexLabel/1623378835-623811943.png
1639439095-975997862,WildScenes2d/K-03/image/1639439095-975997862.png,WildScenes2d/K-03/indexLabel/1639439095-975997862.png
1639440161-429956495,WildScenes2d/K-03/image/1639440161-429956495.png,WildScenes2d/K-03/indexLabel/1639440161-429956495.png
1639438477-670086131,WildScenes2d/K-03/image/1639438477-670086131.png,WildScenes2d/K-03/indexLabel/1639438477-670086131.png
1623371417-252802983,WildScenes2d/V-02/image/1623371417-252802983.png,WildScenes2d/V-02/indexLabel/1623371417-252802983.png
1639438793-995331480,WildScenes2d/K-03/image/1639438793-995331480.png,WildScenes2d/K-03/indexLabel/1639438793-995331480.png
1624328055-542742850,WildScenes2d/K-01/image/1624328055-542742850.png,WildScenes2d/K-01/indexLabel/1624328055-542742850.png
1639438856-976122854,WildScenes2d/K-03/image/1639438856-976122854.png,WildScenes2d/K-03/indexLabel/1639438856-976122854.png
1639438131-338912266,WildScenes2d/K-03/image/1639438131-338912266.png,WildScenes2d/K-03/indexLabel/1639438131-338912266.png
1639441133-604760700,WildScenes2d/K-03/image/1639441133-604760700.png,WildScenes2d/K-03/indexLabel/1639441133-604760700.png
1639438275-633020382,WildScenes2d/K-03/image/1639438275-633020382.png,WildScenes2d/K-03/indexLabel/1639438275-633020382.png
1639700289-958561278,WildScenes2d/V-03/image/1639700289-958561278.png,WildScenes2d/V-03/indexLabel/1639700289-958561278.png
1623379085-602528879,WildScenes2d/V-01/image/1623379085-602528879.png,WildScenes2d/V-01/indexLabel/1623379085-602528879.png
1639439499-761021158,WildScenes2d/K-03/image/1639439499-761021158.png,WildScenes2d/K-03/indexLabel/1639439499-761021158.png
1639441169-326152993,WildScenes2d/K-03/image/1639441169-326152993.png,WildScenes2d/K-03/indexLabel/1639441169-326152993.png
1623372397-206453017,WildScenes2d/V-02/image/1623372397-206453017.png,WildScenes2d/V-02/indexLabel/1623372397-206453017.png
1639698470-282848117,WildScenes2d/V-03/image/1639698470-282848117.png,WildScenes2d/V-03/indexLabel/1639698470-282848117.png
