id,lidar_path,label_path,hist_path
1639438280-765902736,WildScenes3d/K-03/Clouds/1639438280.765902736.bin,WildScenes3d/K-03/Labels/1639438280.765902736.label,WildScenes3d/K-03/Hists/1639438280.765902736.csv
1639439730-108330700,WildScenes3d/K-03/Clouds/1639439730.108330700.bin,WildScenes3d/K-03/Labels/1639439730.108330700.label,WildScenes3d/K-03/Hists/1639439730.108330700.csv
1623372254-222739870,WildScenes3d/V-02/Clouds/1623372254.222739870.bin,WildScenes3d/V-02/Labels/1623372254.222739870.label,WildScenes3d/V-02/Hists/1623372254.222739870.csv
1639438159-728542036,WildScenes3d/K-03/Clouds/1639438159.728542036.bin,WildScenes3d/K-03/Labels/1639438159.728542036.label,WildScenes3d/K-03/Hists/1639438159.728542036.csv
1639700907-068640141,WildScenes3d/V-03/Clouds/1639700907.068640141.bin,WildScenes3d/V-03/Labels/1639700907.068640141.label,WildScenes3d/V-03/Hists/1639700907.068640141.csv
1639700782-838798300,WildScenes3d/V-03/Clouds/1639700782.838798300.bin,WildScenes3d/V-03/Labels/1639700782.838798300.label,WildScenes3d/V-03/Hists/1639700782.838798300.csv
1639439599-915029077,WildScenes3d/K-03/Clouds/1639439599.915029077.bin,WildScenes3d/K-03/Labels/1639439599.915029077.label,WildScenes3d/K-03/Hists/1639439599.915029077.csv
1623379018-200174466,WildScenes3d/V-01/Clouds/1623379018.200174466.bin,WildScenes3d/V-01/Labels/1623379018.200174466.label,WildScenes3d/V-01/Hists/1623379018.200174466.csv
1623378800-515884990,WildScenes3d/V-01/Clouds/1623378800.515884990.bin,WildScenes3d/V-01/Labels/1623378800.515884990.label,WildScenes3d/V-01/Hists/1623378800.515884990.csv
1624325900-806350844,WildScenes3d/K-01/Clouds/1624325900.806350844.bin,WildScenes3d/K-01/Labels/1624325900.806350844.label,WildScenes3d/K-01/Hists/1624325900.806350844.csv
1639442208-548706436,WildScenes3d/K-03/Clouds/1639442208.548706436.bin,WildScenes3d/K-03/Labels/1639442208.548706436.label,WildScenes3d/K-03/Hists/1639442208.548706436.csv
1639700239-369157058,WildScenes3d/V-03/Clouds/1639700239.369157058.bin,WildScenes3d/V-03/Labels/1639700239.369157058.label,WildScenes3d/V-03/Hists/1639700239.369157058.csv
1639439376-066422244,WildScenes3d/K-03/Clouds/1639439376.066422244.bin,WildScenes3d/K-03/Labels/1639439376.066422244.label,WildScenes3d/K-03/Hists/1639439376.066422244.csv
1639439011-594421571,WildScenes3d/K-03/Clouds/1639439011.594421571.bin,WildScenes3d/K-03/Labels/1639439011.594421571.label,WildScenes3d/K-03/Hists/1639439011.594421571.csv
1639699488-820114265,WildScenes3d/V-03/Clouds/1639699488.820114265.bin,WildScenes3d/V-03/Labels/1639699488.820114265.label,WildScenes3d/V-03/Hists/1639699488.820114265.csv
1639438610-976384053,WildScenes3d/K-03/Clouds/1639438610.976384053.bin,WildScenes3d/K-03/Labels/1639438610.976384053.label,WildScenes3d/K-03/Hists/1639438610.976384053.csv
1623371632-860658691,WildScenes3d/V-02/Clouds/1623371632.860658691.bin,WildScenes3d/V-02/Labels/1623371632.860658691.label,WildScenes3d/V-02/Hists/1623371632.860658691.csv
1623377953-562703868,WildScenes3d/V-01/Clouds/1623377953.562703868.bin,WildScenes3d/V-01/Labels/1623377953.562703868.label,WildScenes3d/V-01/Hists/1623377953.562703868.csv
1624327811-057922087,WildScenes3d/K-01/Clouds/1624327811.057922087.bin,WildScenes3d/K-01/Labels/1624327811.057922087.label,WildScenes3d/K-01/Hists/1624327811.057922087.csv
1639435032-434375864,WildScenes3d/K-03/Clouds/1639435032.434375864.bin,WildScenes3d/K-03/Labels/1639435032.434375864.label,WildScenes3d/K-03/Hists/1639435032.434375864.csv
1639700430-198798400,WildScenes3d/V-03/Clouds/1639700430.198798400.bin,WildScenes3d/V-03/Labels/1639700430.198798400.label,WildScenes3d/V-03/Hists/1639700430.198798400.csv
1639438310-030206367,WildScenes3d/K-03/Clouds/1639438310.030206367.bin,WildScenes3d/K-03/Labels/1639438310.030206367.label,WildScenes3d/K-03/Hists/1639438310.030206367.csv
1624325721-312741810,WildScenes3d/K-01/Clouds/1624325721.312741810.bin,WildScenes3d/K-01/Labels/1624325721.312741810.label,WildScenes3d/K-01/Hists/1624325721.312741810.csv
1639438588-377329137,WildScenes3d/K-03/Clouds/1639438588.377329137.bin,WildScenes3d/K-03/Labels/1639438588.377329137.label,WildScenes3d/K-03/Hists/1639438588.377329137.csv
1639435127-155034941,WildScenes3d/K-03/Clouds/1639435127.155034941.bin,WildScenes3d/K-03/Labels/1639435127.155034941.label,WildScenes3d/K-03/Hists/1639435127.155034941.csv
1624325520-243326040,WildScenes3d/K-01/Clouds/1624325520.243326040.bin,WildScenes3d/K-01/Labels/1624325520.243326040.label,WildScenes3d/K-01/Hists/1624325520.243326040.csv
1623370741-758452143,WildScenes3d/V-02/Clouds/1623370741.758452143.bin,WildScenes3d/V-02/Labels/1623370741.758452143.label,WildScenes3d/V-02/Hists/1623370741.758452143.csv
1639437983-252486102,WildScenes3d/K-03/Clouds/1639437983.252486102.bin,WildScenes3d/K-03/Labels/1639437983.252486102.label,WildScenes3d/K-03/Hists/1639437983.252486102.csv
1639435620-729506500,WildScenes3d/K-03/Clouds/1639435620.729506500.bin,WildScenes3d/K-03/Labels/1639435620.729506500.label,WildScenes3d/K-03/Hists/1639435620.729506500.csv
1623379678-154574460,WildScenes3d/V-01/Clouds/1623379678.154574460.bin,WildScenes3d/V-01/Labels/1623379678.154574460.label,WildScenes3d/V-01/Hists/1623379678.154574460.csv
1639699175-962070096,WildScenes3d/V-03/Clouds/1639699175.962070096.bin,WildScenes3d/V-03/Labels/1639699175.962070096.label,WildScenes3d/V-03/Hists/1639699175.962070096.csv
1639434880-862787200,WildScenes3d/K-03/Clouds/1639434880.862787200.bin,WildScenes3d/K-03/Labels/1639434880.862787200.label,WildScenes3d/K-03/Hists/1639434880.862787200.csv
1639699019-819822398,WildScenes3d/V-03/Clouds/1639699019.819822398.bin,WildScenes3d/V-03/Labels/1639699019.819822398.label,WildScenes3d/V-03/Hists/1639699019.819822398.csv
1639439540-810620143,WildScenes3d/K-03/Clouds/1639439540.810620143.bin,WildScenes3d/K-03/Labels/1639439540.810620143.label,WildScenes3d/K-03/Hists/1639439540.810620143.csv
1624328585-584275373,WildScenes3d/K-01/Clouds/1624328585.584275373.bin,WildScenes3d/K-01/Labels/1624328585.584275373.label,WildScenes3d/K-01/Hists/1624328585.584275373.csv
1623378988-723180549,WildScenes3d/V-01/Clouds/1623378988.723180549.bin,WildScenes3d/V-01/Labels/1623378988.723180549.label,WildScenes3d/V-01/Hists/1623378988.723180549.csv
1639438081-155063305,WildScenes3d/K-03/Clouds/1639438081.155063305.bin,WildScenes3d/K-03/Labels/1639438081.155063305.label,WildScenes3d/K-03/Hists/1639438081.155063305.csv
1639436011-661041544,WildScenes3d/K-03/Clouds/1639436011.661041544.bin,WildScenes3d/K-03/Labels/1639436011.661041544.label,WildScenes3d/K-03/Hists/1639436011.661041544.csv
1639438273-573823905,WildScenes3d/K-03/Clouds/1639438273.573823905.bin,WildScenes3d/K-03/Labels/1639438273.573823905.label,WildScenes3d/K-03/Hists/1639438273.573823905.csv
